Company Name,Website,Industry,YC Description,Score,Reasoning,Email Draft,Status
Vetcove,https://www.vetcove.com,B2B,"Vetcove is Kayak for veterinary hospitals.  We're a B2B marketplace for the animal health supply chain. Clinics can compare prices and what's in stock among vendors, and buy their pharmaceuticals, biologics, equipment, and supplies from one website.",,,,
Copia,http://www.gocopia.com,B2B,"With Copia, businesses can instantly request a pickup of their excess food and have it delivered to communities in need in an easy, reliable, and legally safe way. We're a marketplace that repurposes and monetizes what would otherwise be wasted.",,,,
UtilityScore,http://www.myutilityscore.com/,B2B,"API for estimating utility costs for every home. We have energy and water bill estimates for all 82M single family home in the U.S. We sell our API to lenders, contractors, and home improvement suppliers to find, engage, and convert customers.",,,,
flexReceipts,http://www.flexreceipts.com,B2B,"Smart digital receipts for physical stores to help retailers engage customers and increase sales; all while creating the ability to track offline customers and their purchases across retailers (i.e., offline cookie for the real world).",,,,
Chillabit,http://justchillabit.com/,Consumer,"Chillabit is the best way to procrastinate! It’s a live feed of funny and relatable student stories that capture student life. From inside jokes to heart-felt stories, it is a place for sharing your thoughts and connecting around shared experiences.",,,,
Hykso,http://www.hykso.com,Consumer,"Hykso builds wrist sensors for Boxing and Martial Arts. They recognize which type of punches is thrown and calculate their speed. Our first customers were Olympic teams and famous fighters. We now want to bring Boxing as an at-home workout. 



",,,,
LendEDU,https://lendedu.com,Consumer,LendEDU is a marketplace for student loans and student loan refinancing. With one application we pre-qualify borrowers across a wide variety of lenders. LendEDU does NOT hurt consumer credit. We create transparency and save consumers money.,,,,
Exponent,http://getexponent.com/,Developer Tools,"Exponent brings together the best of web (development speed, fast iteration cycles, easy deploys, and automatic cross-platform support) and the performance and user experience of native apps. Let's talk if you're planning to build a mobile app.",,,,
MessageBird,http://messagebird.com,Developer Tools,"MessageBird is an API for sending Text, Voice & Chat messages. We offer the most advanced messaging API, packed with features and customizable parameters for high-volume and demanding message senders. 

",,,,
Instabug,https://instabug.com,Developer Tools,"In-app conversations and bug reporting for mobile apps. We're helping apps squash bugs in their beta apps and engage users in their production apps.
If you're building a mobile app, we'd love to talk.",,,,
Validere,http://validere.com,Hardware,Validere is making lab-quality chemical testing accessible in real time to minimally trained workers in heavy industry. We use nanotechnology to instantly measure multiple properties of a liquid and machine learning algorithms to interpret results. ,,,,
Unima,http://www.unima.com.mx,Hardware,Unima created a lab on paper technology which diagnoses infectious diseases faster and at a lower cost than available lab tests. We are solving the problem of lack of access to diagnostics for 3 billion people living in resource limited settings.,,,,
Stealth Worker,https://www.stealthworker.com,Marketplace,"We are building an marketplace for cyber security experts.  Where one can hire a penetration tester, GRC specialist, SSDLC (Secure Software Development Life Cycle) engineer, infosec sales engineers, etc...  by the hour at affordable rates.",,,,
JustRide,http://www.justride.in,Marketplace,"Airbnb for cars in India.
$120 k net revenue per month. 
$500 dollars average income per car / month
Average income of an Indian is also  500 dollars.

"" car is an earning member of your family ""

",,,,
UpLabs,http://www.uplabs.com,Marketplace,"UpLabs is a place where designers & developers come to share, discover and interact with the resources they need to build sites and apps. ",,,,
Skymind,http://skymind.io,Enterprise,"Cloudera for Deep Learning. Open-core company focused on delivering deep learning solutions for fraud detection, image recognition and predictive analytics with our open source platform Deeplearning4j, the most popular DL tool for the JVM.",,,,
WorkRamp,https://www.workramp.com,Enterprise,"WorkRamp is intelligent training software for the enterprise. We help companies like Square, Equinix, and Intercom train their sales and customer success teams to be much more productive.",,,,
Upgraded,http://upgraded.io,Fintech,"Annual upgrade plans for phones. Enables retailers to offer upgrade plans and financing on devices. Outside the US, in Europe & Asia retailers sell more devices than telcos. We give retailers the Software and Financing to sell more devices. ",,,,
Lendsnap,http://lendsnap.com,Fintech,"Lendsnap automatically gathers mortgage qualifying documents to increase lender productivity by handling most of the loan processor role. Lendsnap is the only account aggregator enhancing portfolio liquidity with original source documents.
",,,,
AlphaFlow,http://www.alphaflow.com,Fintech,"AlphaFlow makes investing in real estate as easy as adding stocks to your portfolio. 100% passive with unparalleled diversification.
 
“You make 1 investment. We build you a diversified real estate portfolio. It's that simple.”",,,,
X-Zell,http://www.x-zell.com,Biomedical,"We make cancer a curable disease. X-Zell removes healthy cells from standard blood samples and visualizes leftover circulating tumor cells on laboratory slides, seamlessly integrating into routine laboratory workflows.",,,,
Lygos,http://www.lygos.com,Biomedical,Lygos engineers yeast to convert sugar into high-value industrial chemicals. ,,,,
RocketLit,http://www.rocketlit.com,Education,"RocketLit is an adaptive learning and assessment platform. We write articles at 7 different reading levels, serve them to every student in a classroom at their independent reading level, and fluidly adapt the level students receive as they improve. ",,,,
Quero Education,http://quero.education,Education,"Quero is an online marketplace for college programs in Brazil. It helps students search, compare and enroll in programs in over 700 partner colleges, saving money on tuition.",,,,
